"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000001487"	"YKL004W"	"S. cerevisiae"	"AUR1"	"AUreobasidin A Resistance"	"Phosphatidylinositol:ceramide phosphoinositol transferase"	"Phosphatidylinositol:ceramide phosphoinositol transferase; required for sphingolipid synthesis; can mutate to confer aureobasidin A resistance; also known as IPC synthase"	"Verified"	NA	"Essential gene; conditional mutant displays decreased accumulation of ceramide and inositol phosphoceramide; repressible mutant has disassembled intranuclear and cytoplasmic microtubules, a reduction in beta-tubulin levels and diffuse cell surface disposition of chitin; overexpression results in a decreased rate of vegetative growth and hyperosmotic stress resistance; dominant mutant and overexpressor are resistant to aureobasidin A"	"5070-YKL004W"	NA
"S000001488"	"YKL005C"	"S. cerevisiae"	"BYE1"	"BYpass of ESS1"	"Negative regulator of transcription elongation"	"Negative regulator of transcription elongation; contains a TFIIS-like domain that associates with chromatin and a PHD domain that interacts with H3K4me3; multicopy suppressor of temperature-sensitive ess1 mutations, binds RNA polymerase II large subunit"	"Verified"	NA	NA	"5071-YKL005C"	NA
"S000001489"	"YKL006W"	"S. cerevisiae"	"RPL14A"	"Ribosomal Protein of the Large subunit"	"Ribosomal 60S subunit protein L14A"	"Ribosomal 60S subunit protein L14A; N-terminally acetylated; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14A has a paralog, RPL14B, that arose from the whole genome duplication"	"Verified"	"RNA-binding subunit of the cytosolic large ribosomal subunit; involved in translation|uniprot_proteome=UP000002311"	NA	"5073-YKL006W"	NA
"S000001490"	"YKL007W"	"S. cerevisiae"	"CAP1"	"CAPping"	"Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p)"	"Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress"	"Verified"	NA	NA	"5074-YKL007W"	NA
"S000001491"	"YKL008C"	"S. cerevisiae"	"LAC1"	"Longevity-Assurance gene Cognate (LAG1 Cognate)"	"Ceramide synthase component"	"Ceramide synthase component; involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lag1p; LAC1 has a paralog, LAG1, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant accumulates free sphingoid long-chain bases and shows sensitivity to myriocin"	"5075-YKL008C_NumOfGenes_2"	NA
"S000001492"	"YKL009W"	"S. cerevisiae"	"MRT4"	"mRNA Turnover 4"	"Protein involved in mRNA turnover and ribosome assembly"	"Protein involved in mRNA turnover and ribosome assembly; required at post-transcriptional step for efficient retrotransposition; localizes to the nucleolus"	"Verified"	NA	NA	"5076-YKL009W"	NA
"S000001493"	"YKL010C"	"S. cerevisiae"	"UFD4"	"Ubiquitin Fusion Degradation protein"	"Ubiquitin-protein ligase (E3)"	"Ubiquitin-protein ligase (E3); interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins; relative distribution to the nucleus increases upon DNA replication stress"	"Verified"	NA	NA	"5077-YKL010C"	NA
"S000001494"	"YKL011C"	"S. cerevisiae"	"CCE1"	"Cruciform Cutting Endonuclease"	"Mitochondrial cruciform cutting endonuclease"	"Mitochondrial cruciform cutting endonuclease; cleaves Holliday junctions formed during recombination of mitochondrial DNA; CCE1 has a paralog, MRS1, that arose from the whole genome duplication"	"Verified"	NA	NA	"5078-YKL011C"	NA
"S000001495"	"YKL012W"	"S. cerevisiae"	"PRP40"	"Pre-mRNA Processing"	"U1 snRNP protein involved in splicing"	"U1 snRNP protein involved in splicing; interacts with the branchpoint-binding protein during the formation of the second commitment complex"	"Verified"	NA	NA	"5079-YKL012W"	NA
"S000001496"	"YKL013C"	"S. cerevisiae"	"ARC19"	"ARp2/3 Complex subunit"	"Subunit of the ARP2/3 complex"	"Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; mutation is functionally complemented by human ARPC4"	"Verified"	NA	"Non-essential gene; null mutant forms aberrant actin structures, grows very slowly, and produces spores with reduced viability"	"5080-YKL013C"	NA
"S000001497"	"YKL014C"	"S. cerevisiae"	"URB1"	"Unhealthy Ribosome Biogenesis"	"Protein required for the normal accumulation of 25S and 5.8S rRNAs"	"Protein required for the normal accumulation of 25S and 5.8S rRNAs; nucleolar protein; associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit"	"Verified"	NA	NA	"5081-YKL014C"	NA
"S000001498"	"YKL015W"	"S. cerevisiae"	"PUT3"	"Proline UTilization"	"Transcriptional activator"	"Transcriptional activator; binds specific gene recruitment sequences and is required for DNA zip code-mediated targeting of genes to nuclear periphery; regulates proline utilization genes, constitutively binds PUT1 and PUT2 promoters as a dimer, undergoes conformational change to form active state; binds other promoters only under activating conditions; differentially phosphorylated in presence of different nitrogen sources; has a Zn(2)-Cys(6) binuclear cluster domain"	"Verified"	NA	NA	"5082-YKL015W"	NA
"S000001499"	"YKL016C"	"S. cerevisiae"	"ATP7"	"ATP synthase"	"Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase"	"Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	"Verified"	"Subunit of the stator stalk of the F0 coupling factor of mitochondrial F1F0 ATP synthase; ATP synthase complex is localized to the mitochondrial inner membrane|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant has petite phenotype - slow growth on glucose and no growth with non-fermentable carbon sources, indicating respiratory deficiency; in systematic studies null mutants become resistant to edelfosine, MMS, idarubicin, benomyl, caffeine, but sensitive to UV, cordycepin"	"5083-YKL016C"	NA
"S000001500"	"YKL017C"	"S. cerevisiae"	"HCS1"	"dna HeliCaSe"	"Hexameric DNA polymerase alpha-associated DNA helicase A"	"Hexameric DNA polymerase alpha-associated DNA helicase A; involved in lagging strand DNA synthesis; contains single-stranded DNA stimulated ATPase and dATPase activities; replication protein A stimulates helicase and ATPase activities"	"Verified"	NA	NA	"5084-YKL017C"	NA
"S000001501"	"YKL018W"	"S. cerevisiae"	"SWD2"	"Set1c, WD40 repeat protein"	"Subunit of the COMPASS (Set1C) histone H3K4 methyltransferase complex"	"Subunit of the COMPASS (Set1C) histone H3K4 methyltransferase complex; required for Set1C stability and optimal activity; COMPASS methylates histone H3 on lys 4 and is involved in telomeric silencing; subunit of CPF (cleavage and polyadenylation factor), a complex involved in RNAP II transcription termination"	"Verified"	NA	NA	"5086-YKL018W"	NA
"S000001502"	"YKL019W"	"S. cerevisiae"	"RAM2"	"RAS protein and A-factor Maturation"	"Alpha subunit of farnesyltransferase and geranylgeranyltransferase-I"	"Alpha subunit of farnesyltransferase and geranylgeranyltransferase-I; farnesyltransferase (Ram2p-Ram1p heterodimer) catalyzes the addition of 15-carbon isoprenoid farnesyl to substrate proteins containing a CAAX consensus motif; type I geranylgeranyltransferase (Ram2p-Cdc43p heterodimer) catalyzes the addition of the 20-carbon isoprenoid geranylgeranyl to substrate proteins containing a CaaL consensus motif; required for membrane localization of Ras proteins and a-factor"	"Verified"	NA	NA	"5087-YKL019W"	NA
"S000001503"	"YKL020C"	"S. cerevisiae"	"SPT23"	"SuPpressor of Ty"	"ER membrane protein involved in regulation of OLE1 transcription"	"ER membrane protein involved in regulation of OLE1 transcription; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting; SPT23 has a paralog, MGA2, that arose from the whole genome duplication"	"Verified"	NA	NA	"5088-YKL020C"	NA
"S000001504"	"YKL021C"	"S. cerevisiae"	"MAK11"	"MAintenance of Killer"	"Protein involved in an early step of 60S ribosomal subunit biogenesis"	"Protein involved in an early step of 60S ribosomal subunit biogenesis; essential for cell growth and replication of killer M1 dsRNA virus; contains four beta-transducin repeats"	"Verified"	NA	NA	"5089-YKL021C"	NA
"S000001505"	"YKL022C"	"S. cerevisiae"	"CDC16"	"Cell Division Cycle"	"Subunit of the anaphase-promoting complex/cyclosome (APC/C)"	"Subunit of the anaphase-promoting complex/cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; required for sporulation; relocalizes to the cytosol in response to hypoxia"	"Verified"	NA	NA	"5090-YKL022C"	NA
"S000001506"	"YKL023W"	"S. cerevisiae"	NA	NA	"Putative protein of unknown function"	"Putative protein of unknown function; predicted by computational methods to be involved in mRNA degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"	"Uncharacterized"	"Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study|uniprot_proteome=UP000002311"	NA	"5092-YKL023W"	NA
"S000001507"	"YKL024C"	"S. cerevisiae"	"URA6"	"URAcil requiring"	"Uridylate kinase"	"Uridylate kinase; catalyzes the seventh enzymatic step in the de novo biosynthesis of pyrimidines, converting uridine monophosphate (UMP) into uridine-5'-diphosphate (UDP)"	"Verified"	"Bifunctional adenylate and uridylate kinase involved in 'de novo' pyrimidine biosynthesis; localizes to nucleus and cytoplasm|uniprot_proteome=UP000002311"	"Essential gene; ts mutant is resistant to 5-fluorouracil at the permissive temperature and rapidly becomes depleted of UTP and CTP upon incubation at restrictive temperature; in large-scale studies, conditional mutant displays gross chromosomal rearrangements and heterozygous null mutant diploid displays chromosome instability"	"5093-YKL024C"	NA
"S000001508"	"YKL025C"	"S. cerevisiae"	"PAN3"	"Poly(A) Nuclease"	"Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex"	"Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex; poly (A) mRNA binding subunit which recruits mRNA to the complex; the Pan2p-Pan3p complex controls poly(A) tail length and regulates the stoichiometry and activity of postreplication repair complexes"	"Verified"	NA	NA	"5094-YKL025C"	NA
"S000001509"	"YKL026C"	"S. cerevisiae"	"GPX1"	"Glutathione PeroXidase"	"Phospholipid hydroperoxide glutathione peroxidase"	"Phospholipid hydroperoxide glutathione peroxidase; induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; GPX1 has a paralog, HYR1, that arose from the whole genome duplication"	"Verified"	NA	NA	"5095-YKL026C"	NA
"S000001510"	"YKL027W"	"S. cerevisiae"	"TCD2"	"tRNA ThreonylCarbamoyladenosine Dehydratase"	"tRNA threonylcarbamoyladenosine dehydratase"	"tRNA threonylcarbamoyladenosine dehydratase; required for the ct6A tRNA base modification, where an adenosine at position 37 is modified to form a cyclized active ester with an oxazolone ring; localized to the mitochondrial outer membrane; TCD2 has a paralog, TCD1, that arose from the whole genome duplication"	"Verified"	"tRNA threonylcarbamoyladenosine dehydratase required for the formation of the modified nucleoside cyclic N(6)-threonylcarbamoyladenosine in tRNAs; localized to the mitochondrial outer membrane|uniprot_proteome=UP000002311"	NA	"5096-YKL027W"	NA
"S000001511"	"YKL028W"	"S. cerevisiae"	"TFA1"	"Transcription Factor a, subunit 1"	"TFIIE large subunit"	"TFIIE large subunit; involved in recruitment of RNA polymerase II to the promoter, activation of TFIIH, and promoter opening"	"Verified"	NA	NA	"5097-YKL028W"	NA
"S000001512"	"YKL029C"	"S. cerevisiae"	"MAE1"	"MAlic Enzyme"	"Mitochondrial malic enzyme"	"Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids"	"Verified"	NA	NA	"5098-YKL029C"	NA
"S000001513"	"YKL030W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; partially overlaps the verified gene MAE1"	"Dubious"	NA	NA	"5099-YKL030W"	NA
"S000001514"	"YKL031W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species"	"Dubious"	NA	NA	"5100-YKL031W"	NA
"S000001515"	"YKL032C"	"S. cerevisiae"	"IXR1"	"Intrastrand cross (X)-link Recognition"	"Transcriptional repressor that regulates hypoxic genes during normoxia"	"Transcriptional repressor that regulates hypoxic genes during normoxia; involved in the aerobic repression of genes such as COX5b, TIR1, and HEM13; binds DNA intrastrand cross-links formed by cisplatin; HMG (high mobility group box) domain containing protein which binds and bends cisplatin-modified DNA, blocking excision repair; IXR1 has a paralog, ABF2, that arose from the whole genome duplication"	"Verified"	"Sequence-specific DNA-binding protein involved in negative regulation of transcription from RNA polymerase II promoters and the cellular response to hypoxia; binds damaged DNA and is implicated in DNA repair; colocalizes with nuclear chromatin|uniprot_proteome=UP000002311"	NA	"5101-YKL032C"	NA
"S000001516"	"YKL033W"	"S. cerevisiae"	"TTI1"	"Two Tel2-Interacting protein"	"Subunit of the ASTRA complex, involved in chromatin remodeling"	"Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1; similar to S. pombe Tti1p; detected in highly purified mitochondria in high-throughput studies"	"Verified"	"Subunit of the ASTRA complex with unknown function; localizes to the nucleus and mitochondrion in large-scale studies|uniprot_proteome=UP000002311"	NA	"5102-YKL033W"	NA
"S000001517"	"YKL034W"	"S. cerevisiae"	"TUL1"	"Transmembrane Ubiquitin Ligase"	"Subunit of the DSC ubiquitin ligase complex"	"Subunit of the DSC ubiquitin ligase complex; golgi-localized RING-finger ubiquitin ligase (E3) involved in sorting polar transmembrane domain containing membrane proteins to multivesicular bodies for delivery to the vacuole; proposed involvement in the quality control of misfolded TMD containing proteins; ortholog of fission yeast dsc1"	"Verified"	NA	NA	"5104-YKL034W"	NA
